frame,visible_voxels
532,577353,
533,577123,
534,576917,
535,576358,
536,576205,
537,575872,
538,575342,
539,575088,
540,574807,
541,574655,
542,573872,
543,573872,
544,573521,
545,573553,
546,573140,
547,573030,
548,572950,
549,572391,
550,572595,
551,571990,
552,571526,
553,570746,
554,570146,
555,569582,
556,568626,
557,568162,
558,567126,
559,566467,
560,565625,
561,565082,
562,564242,
563,563555,
564,562887,
565,562321,
566,561748,
567,560930,
568,560703,
569,559849,
570,559371,
571,558433,
572,557656,
573,556922,
574,556567,
575,555652,
576,555571,
577,554591,
578,553862,
579,553306,
580,553240,
581,552740,
582,550800,
583,550693,
584,550124,
585,549616,
586,548733,
587,548081,
588,546876,
589,547177,
590,545827,
591,544804,
592,544219,
593,544168,
594,542662,
595,542339,
596,541647,
597,540425,
598,539818,
599,539885,
600,538716,
601,538469,
602,537624,
603,537181,
604,536511,
605,536174,
606,535318,
607,535287,
608,534370,
609,533913,
610,533471,
611,532593,
612,532097,
613,531610,
614,530197,
615,530328,
616,529587,
617,528935,
618,528586,
619,527193,
620,526752,
621,526077,
622,525452,
623,524584,
624,524208,
625,523577,
626,523076,
627,522641,
628,521862,
629,521741,
630,520805,
631,520085,
632,520085,
633,518995,
634,518870,
635,518922,
636,518642,
637,517956,
638,517517,
639,516906,
640,516515,
641,515949,
642,515289,
643,515039,
644,514557,
645,514072,
646,513427,
647,512616,
648,512229,
649,511792,
650,511205,
651,510600,
652,510172,
653,509970,
654,509572,
655,508861,
656,508560,
657,508228,
658,508069,
659,507792,
660,507423,
661,507060,
662,506866,
663,506797,
664,506674,
665,506182,
666,505670,
667,505622,
668,505739,
669,505449,
670,505013,
671,504824,
672,504727,
673,504896,
674,504644,
675,504253,
676,504133,
677,504148,
678,504172,
679,503710,
680,503488,
681,503412,
682,503455,
683,502667,
684,502852,
685,502519,
686,502397,
687,502554,
688,502401,
689,502209,
690,502334,
691,502144,
692,502092,
693,501967,
694,501771,
695,501760,
696,501508,
697,501491,
698,501116,
699,500910,
700,500448,
701,500402,
702,500223,
703,499681,
704,499701,
705,499258,
706,499713,
707,499327,
708,499385,
709,499237,
710,499580,
711,498937,
712,498914,
713,499120,
714,498721,
715,498892,
716,498963,
717,498939,
718,498891,
719,498967,
720,498892,
721,498555,
722,498680,
723,498560,
724,498547,
725,498733,
726,498731,
727,498536,
728,498740,
729,498998,
730,498955,
731,499166,
732,499159,
733,499322,
734,499339,
735,499448,
736,499699,
737,499864,
738,500005,
739,500533,
740,500516,
741,500810,
742,500789,
743,501223,
744,501410,
745,501531,
746,501901,
747,502076,
748,502469,
749,502799,
750,502939,
751,503073,
752,502969,
753,503006,
754,503022,
755,503463,
756,503687,
757,503778,
758,504021,
759,503979,
760,504229,
761,504366,
762,504421,
763,504471,
764,504696,
765,505077,
766,505406,
767,505423,
768,505409,
769,506215,
770,506353,
771,506456,
772,506482,
773,506858,
774,507112,
775,507137,
776,507529,
777,507695,
778,508301,
779,508512,
780,508663,
781,508600,
782,509087,
783,509601,
784,509853,
785,509833,
786,510098,
787,510688,
788,511427,
789,511861,
790,512108,
791,512271,
792,512654,
793,513405,
794,513323,
795,513452,
796,513741,
797,513936,
798,514206,
799,514737,
800,515031,
801,515199,
802,515614,
803,515786,
804,516099,
805,516414,
806,516356,
807,516646,
808,516987,
809,517155,
810,517320,
811,517686,
812,517848,
813,518442,
814,518813,
815,518765,
816,519351,
817,520213,
818,520213,
819,520213,
820,521909,
821,522042,
822,522041,
823,522406,
824,522958,
825,523470,
826,523658,
827,523874,
828,524379,
829,524783,
830,525265,
831,525789,
832,526126,
833,526878,
834,527004,
835,527786,
836,528712,
837,529172,
838,529669,
839,530792,
840,531428,
841,531808,
842,532379,
843,532968,
844,533614,
845,534025,
846,534502,
847,534958,
848,535207,
849,535795,
850,536717,
851,537467,
852,537614,
853,538023,
854,538513,
855,539017,
856,539486,
857,540161,
858,540264,
859,541200,
860,541681,
861,542029,
862,542689,
863,543039,
864,543850,
865,544138,
866,544289,
867,544985,
868,545262,
869,545124,
870,546039,
871,546516,
872,546936,
873,546958,
874,546378,
875,546998,
876,547617,
877,547866,
878,547910,
879,548178,
880,548954,
881,548815,
882,549170,
883,548901,
884,550188,
885,549540,
886,549666,
887,549721,
888,550167,
889,549919,
890,549406,
891,549406,
892,549406,
893,549359,
894,549413,
895,549395,
896,549635,
897,549601,
898,550278,
899,550076,
900,550087,
901,550328,
902,549893,
903,549789,
904,549787,
905,549776,
906,549554,
907,549613,
908,549689,
909,549333,
910,549351,
911,549233,
912,549349,
913,548956,
914,548629,
915,548301,
916,547769,
917,547693,
918,546978,
919,546651,
920,546721,
921,546592,
922,546160,
923,546057,
924,545911,
925,545243,
926,544988,
927,544665,
928,544557,
929,543871,
930,543948,
931,543659,
932,543243,
933,543055,
934,542802,
935,542724,
936,542556,
937,542195,
938,541989,
939,542079,
940,541937,
941,541566,
942,541706,
943,541234,
944,541094,
945,541255,
946,540831,
947,541137,
948,540844,
949,541006,
950,540942,
951,540718,
952,540692,
953,540814,
954,540889,
955,540811,
956,540829,
957,540751,
958,540328,
959,540930,
960,540510,
961,540614,
962,540055,
963,540490,
964,540362,
965,539950,
966,540274,
967,540006,
968,539835,
969,540145,
970,539995,
971,539986,
972,539904,
973,540098,
974,540141,
975,540005,
976,540217,
977,540034,
978,539874,
979,539654,
980,539574,
981,539807,
982,539634,
983,539966,
984,539489,
985,540144,
986,540136,
987,540447,
988,540461,
989,540370,
990,540419,
991,540974,
992,540974,
993,540917,
994,541790,
995,541913,
996,541993,
997,542130,
998,541826,
999,542618,
1000,542028,
1001,542748,
1002,543150,
1003,543262,
1004,543277,
1005,543891,
1006,544181,
1007,544085,
1008,544252,
1009,544596,
1010,544561,
1011,544930,
1012,545073,
1013,545609,
1014,545613,
1015,545676,
