Label,      DepthPrepass,   DispatchMesh,   Misc
Lucy0,      52.37,          155.65,         26.924
Lucy1,      52.35,          142.74,         29.8      
Lucy2,      51.23,          130.05,         28.704
Lucy3,      50.31,          126.98,         30.294
Lucy4,      51.26,          142.34,         30.016
